--- scanner 0 ---
712,493,-580
-705,-746,944
-468,-742,927
-906,-760,-387
523,612,505
-973,425,-333
361,-777,-655
-172,-143,-8
403,-606,-574
-655,761,677
-670,-738,898
459,511,-563
713,-623,478
-605,714,848
-18,-8,104
510,641,739
-991,515,-523
556,559,577
709,-678,647
789,-632,517
-976,-761,-391
-966,491,-435
-611,679,810
383,-654,-565
641,491,-564
-790,-798,-400

--- scanner 1 ---
-286,612,-671
550,-491,494
-344,-303,619
487,-410,518
973,-373,-692
110,31,-17
662,607,-702
983,-337,-801
-550,671,606
-466,-293,710
793,650,-662
-506,595,519
-294,-768,-699
444,-519,645
-312,599,-535
-464,-304,529
489,802,531
438,778,402
831,-342,-707
-542,513,494
-301,621,-550
-445,-677,-708
560,846,460
-293,-724,-739
638,590,-629

--- scanner 2 ---
-635,-463,-706
896,-619,679
647,295,757
797,-608,645
-270,-724,575
-493,485,466
-340,466,-635
931,-698,684
624,689,-597
584,235,861
411,-511,-238
-577,670,452
592,614,-699
69,3,116
469,-472,-403
-762,-440,-769
562,-473,-299
-426,448,-617
670,355,931
683,528,-588
-378,-620,578
-535,525,-608
-6,-191,36
-647,-428,-727
-454,-713,576
-458,625,481

--- scanner 3 ---
438,-559,589
-590,703,724
451,970,-584
657,488,518
620,-539,588
569,-409,-714
-654,-497,546
506,893,-703
367,-557,605
-760,743,-517
299,925,-664
-802,-444,601
-760,797,-413
523,-491,-552
520,525,466
47,174,-89
-554,-293,-909
-699,577,686
-563,-244,-847
710,529,430
556,-438,-480
-61,65,25
-577,-242,-690
-807,795,-448
-601,599,763
-846,-494,561

--- scanner 4 ---
519,654,-940
723,-779,431
512,259,327
-614,322,-479
-1,-73,-119
807,-942,-373
410,690,-950
-660,-720,-524
-889,427,353
-582,-558,474
-505,385,-481
-827,536,391
-549,416,-405
735,-539,388
638,-629,470
-609,-834,-559
472,303,326
-636,-659,521
-833,511,409
-711,-721,-586
745,-941,-451
503,350,478
504,685,-798
-532,-659,336
813,-874,-376

--- scanner 5 ---
637,-351,-454
820,833,-269
487,-374,703
-451,-657,828
766,726,370
-109,-27,-55
-452,-602,760
526,-342,910
833,757,-477
-647,-678,769
689,-411,-450
-845,657,-682
-560,535,563
-468,403,553
6,111,87
718,-486,-416
-664,-436,-479
771,843,-494
-655,-530,-493
772,807,513
672,815,457
-717,-428,-587
-797,629,-713
606,-297,758
-433,544,520
-699,752,-723

--- scanner 6 ---
-712,-426,681
398,-239,-616
-866,737,603
787,581,-421
-624,425,-698
660,636,788
-641,478,-670
-855,410,-685
54,176,135
-496,-215,-283
889,500,-360
479,-258,-539
765,483,789
699,635,723
819,-682,528
-691,-319,832
413,-316,-666
-865,873,502
-400,-297,-214
-411,-257,-391
47,-11,-7
908,714,-409
739,-634,430
-589,-300,721
-806,911,549
746,-579,435

--- scanner 7 ---
-748,-520,456
850,883,-684
720,-714,-439
734,-633,-369
892,871,-799
829,848,-672
-452,587,-307
409,-653,665
422,838,525
421,-494,564
-522,703,760
-724,-450,600
761,-674,-597
-356,-656,-802
-455,691,-415
-561,613,894
-321,-533,-753
526,839,432
361,800,374
391,-623,659
-49,101,-52
-453,598,-491
-711,-374,399
-556,692,859
90,-64,7
-445,-561,-815

--- scanner 8 ---
711,-456,-414
290,-741,546
381,736,-240
-404,-352,-609
-512,-394,-694
-386,-749,593
-466,-745,599
-616,687,954
542,637,568
352,-724,460
629,585,653
560,-563,-393
303,-949,470
70,-14,46
482,600,-239
-436,-781,432
-107,31,169
600,-437,-516
428,774,-299
-806,273,-250
-819,288,-481
-709,762,937
-335,-434,-705
519,574,718
-791,341,-464
-669,741,851

--- scanner 9 ---
658,667,348
-507,-411,-746
489,722,344
132,158,41
624,-673,-878
-644,568,696
652,-735,-754
-370,-679,656
528,713,268
747,-722,-843
535,-741,347
-522,974,-638
-563,739,654
-454,-708,560
456,-673,284
-600,-335,-744
-438,-676,659
-496,-227,-747
541,680,-475
639,-751,276
-554,691,674
-612,840,-677
-601,939,-643
79,50,-113
611,536,-451
465,479,-488

--- scanner 10 ---
832,700,-495
-400,854,718
-24,73,89
-588,544,-742
-529,703,-780
771,-593,-458
-621,-815,623
883,676,-366
877,-621,-609
528,548,698
-496,849,685
-454,-751,-758
761,744,-424
683,488,665
-492,-693,-669
834,-512,-482
-335,755,724
659,505,738
-806,-766,645
490,-444,743
-688,-774,667
338,-439,837
-567,601,-646
-401,-780,-593
348,-475,728
66,-68,8

--- scanner 11 ---
557,487,481
-411,-305,476
-729,705,812
544,489,-731
581,-542,-442
-773,838,730
-916,955,-691
-594,-372,-747
430,444,590
673,438,-707
581,550,562
469,-550,-600
556,-506,-524
-31,6,77
-139,144,-41
-418,-407,542
-408,-363,-710
615,560,-775
-679,972,-695
546,-464,375
-779,876,765
-478,-359,-709
456,-344,374
365,-466,364
-714,926,-687
-393,-495,566

--- scanner 12 ---
-554,440,781
620,-665,578
-484,464,637
-432,-355,595
-100,114,-60
567,665,-581
658,632,378
579,627,343
669,666,477
-459,-545,-640
701,-707,749
-826,574,-834
-531,-512,-587
626,-356,-521
609,-609,-539
-888,565,-785
-693,-558,-669
622,813,-634
610,-427,-519
-13,-13,73
-471,-279,604
582,857,-584
-408,477,838
-669,588,-836
611,-685,626
-601,-359,650

--- scanner 13 ---
-607,351,-484
120,23,-52
454,-521,-469
841,462,484
-704,-386,498
555,817,-561
-601,431,-488
-494,549,769
-768,401,-452
514,-469,-465
-492,515,851
-712,-486,442
882,550,537
589,-440,-431
400,-552,743
-730,-338,-284
606,807,-499
613,750,-424
-623,-392,355
845,498,674
445,-632,895
-22,-18,68
-580,552,764
477,-671,688
-740,-387,-509
-654,-325,-492

--- scanner 14 ---
695,-578,-741
-525,-524,908
627,579,740
760,-659,787
-518,-492,-772
-669,412,783
756,501,-366
821,452,-499
-559,-362,-779
670,538,749
-765,875,-491
710,-615,897
-139,20,128
-704,858,-677
-534,-604,881
-880,846,-640
-743,467,748
705,658,678
719,447,-365
774,-787,907
-573,-549,798
9,95,-35
-465,-311,-776
-654,460,634
596,-658,-757
626,-617,-560

--- scanner 15 ---
661,511,-766
458,-453,788
-435,-460,692
-325,-841,-621
643,528,-513
454,-559,864
663,527,-695
685,-911,-473
-469,-391,561
